species,item,ability,type1,type2,move1,move2,move3,move4,won,strategy
Luxray,Toxic Orb,Guts,Electric,,Wild Charge,Facade,Ice Fang,Superpower,true,random
Floatzel,Leftovers,Water Veil,Water,,Aqua Jet,Bulk Up,Substitute,Waterfall,true,random
Noivern,Choice Specs,Infiltrator,Flying,Dragon,Draco Meteor,Hurricane,Switcheroo,Flamethrower,true,random
Florges-Blue,Leftovers,Symbiosis,Fairy,,Wish,Moonblast,Protect,Aromatherapy,true,random
Lucario,Lucarionite,Justified,Fighting,Steel,Swords Dance,Close Combat,Ice Punch,Crunch,false,best
Rotom-Frost,Choice Scarf,Levitate,Electric,Ice,Volt Switch,Thunderbolt,Trick,Blizzard,false,best
Registeel,Leftovers,Clear Body,Steel,,Sleep Talk,Curse,Rest,Iron Head,false,best
Cobalion,Assault Vest,Justified,Steel,Fighting,Iron Head,Volt Switch,Close Combat,Stone Edge,false,best
Unfezant,Scope Lens,Super Luck,Normal,Flying,Pluck,Return,Tailwind,U-turn,false,best
Politoed,Chesto Berry,Drizzle,Water,,Rest,Toxic,Scald,Hypnosis,false,best
Alakazam,Life Orb,Magic Guard,Psychic,,Hidden Power Ice,Psyshock,Shadow Ball,Focus Blast,true,best
Phione,Leftovers,Hydration,Water,,U-turn,Toxic,Heal Bell,Scald,true,best
Wigglytuff,Light Clay,Competitive,Normal,Fairy,Reflect,Fire Blast,Dazzling Gleam,Light Screen,true,best
Armaldo,Life Orb,Battle Armor,Rock,Bug,X-Scissor,Toxic,Knock Off,Earthquake,true,best
Lucario,Lucarionite,Justified,Fighting,Steel,Flash Cannon,Close Combat,Crunch,Bullet Punch,true,best
Porygon2,Eviolite,Trace,Normal,,Toxic,Tri Attack,Ice Beam,Recover,true,best
Diancie,Light Clay,Clear Body,Rock,Fairy,Light Screen,Reflect,Moonblast,Hidden Power Fire,false,random
Spiritomb,Leftovers,Infiltrator,Ghost,Dark,Sleep Talk,Rest,Dark Pulse,Will-O-Wisp,false,random
Vanilluxe,Life Orb,Ice Body,Ice,,Hidden Power Ground,Ice Beam,Autotomize,Flash Cannon,false,random
Barbaracle,White Herb,Tough Claws,Rock,Water,Shell Smash,Stone Edge,Razor Shell,Cross Chop,false,random
Shaymin-Sky,Leftovers,Serene Grace,Grass,Flying,Hidden Power Ice,Seed Flare,Substitute,Air Slash,false,random
Sceptile,Sceptilite,Overgrow,Grass,,Substitute,Hidden Power Fire,Leaf Blade,Dragon Pulse,false,random
Genesect,Focus Sash,Download,Bug,Steel,U-turn,Iron Head,Shift Gear,Ice Beam,true,best
Whimsicott,Leftovers,Prankster,Grass,Fairy,Memento,Tailwind,Toxic,Moonblast,true,best
Garchomp,Garchompite,Rough Skin,Dragon,Ground,Stone Edge,Earthquake,Swords Dance,Outrage,true,best
Garbodor,Black Sludge,Aftermath,Poison,,Drain Punch,Toxic,Pain Split,Gunk Shot,true,best
Bouffalant,Choice Band,Reckless,Normal,,Stone Edge,Megahorn,Superpower,Head Charge,true,best
Simisage,Life Orb,Overgrow,Grass,,Superpower,Leaf Storm,Knock Off,Hidden Power Ice,true,best
Beheeyem,Focus Sash,Analytic,Psychic,,Psyshock,Hidden Power Fighting,Nasty Plot,Thunderbolt,false,random
Vivillon-Elegant,Leftovers,Compound Eyes,Bug,Flying,Quiver Dance,Hurricane,Substitute,Energy Ball,false,random
Starmie,Leftovers,Analytic,Water,Psychic,Rapid Spin,Hydro Pump,Thunderbolt,Recover,false,random
Glaceon,Leftovers,Snow Cloak,Ice,,Wish,Toxic,Shadow Ball,Ice Beam,false,random
Greninja,Leftovers,Protean,Water,Dark,Hydro Pump,U-turn,Spikes,Toxic Spikes,false,random
Blissey,Leftovers,Natural Cure,Normal,,Soft-Boiled,Toxic,Seismic Toss,Flamethrower,false,random
Cherrim,Life Orb,Flower Gift,Grass,,Energy Ball,Dazzling Gleam,Synthesis,Hidden Power Fire,true,best
Toxicroak,Black Sludge,Dry Skin,Poison,Fighting,Substitute,Swords Dance,Drain Punch,Ice Punch,true,best
Kyurem-Black,Leftovers,Teravolt,Dragon,Ice,Ice Beam,Substitute,Outrage,Roost,true,best
Masquerain,Leftovers,Intimidate,Bug,Flying,Quiver Dance,Hydro Pump,Air Slash,Sticky Web,true,best
Meloetta,Choice Scarf,Serene Grace,Normal,Psychic,Shadow Ball,Psyshock,Focus Blast,Hyper Voice,true,best
Salamence,Salamencite,Intimidate,Dragon,Flying,Double-Edge,Roost,Dragon Dance,Earthquake,true,best
Cobalion,Assault Vest,Justified,Steel,Fighting,Close Combat,Volt Switch,Hidden Power Ice,Iron Head,false,random
Raikou,Life Orb,Volt Absorb,Electric,,Thunderbolt,Calm Mind,Aura Sphere,Extrasensory,false,random
Gardevoir,Gardevoirite,Trace,Psychic,Fairy,Will-O-Wisp,Hyper Voice,Psyshock,Calm Mind,false,random
Arbok,Black Sludge,Shed Skin,Poison,,Rest,Coil,Sucker Punch,Gunk Shot,false,random
Swanna,Life Orb,Hydration,Water,Flying,Defog,Air Slash,Ice Beam,Scald,false,random
Wormadam,Leftovers,Overcoat,Bug,Grass,Protect,Toxic,Synthesis,Giga Drain,false,random
Aerodactyl,Life Orb,Rock Head,Rock,Flying,Earthquake,Roost,Double-Edge,Stone Edge,true,best
Nidoking,Life Orb,Sheer Force,Poison,Ground,Earth Power,Ice Beam,Substitute,Sludge Wave,true,best
Leavanny,Life Orb,Overcoat,Bug,Grass,Swords Dance,X-Scissor,Knock Off,Leaf Blade,true,best
Yanmega,Life Orb,Speed Boost,Bug,Flying,Protect,Giga Drain,Bug Buzz,Air Slash,true,best
Sawsbuck-Winter,Leftovers,Sap Sipper,Normal,Grass,Swords Dance,Horn Leech,Return,Substitute,true,best
Medicham,Medichamite,Pure Power,Fighting,Psychic,High Jump Kick,Thunder Punch,Ice Punch,Zen Headbutt,true,best
Probopass,Air Balloon,Magnet Pull,Rock,Steel,Earth Power,Flash Cannon,Toxic,Volt Switch,false,random
Froslass,Leftovers,Cursed Body,Ice,Ghost,Shadow Ball,Taunt,Ice Beam,Spikes,false,random
Glalie,Glalitite,Inner Focus,Ice,,Freeze-Dry,Return,Earthquake,Ice Shard,false,random
Amoonguss,Black Sludge,Regenerator,Grass,Poison,Hidden Power Fire,Stun Spore,Synthesis,Sludge Bomb,false,random
Wormadam-Sandy,Leftovers,Overcoat,Bug,Ground,Toxic,Stealth Rock,Protect,Earthquake,false,random
Infernape,Choice Band,Iron Fist,Fire,Fighting,Flare Blitz,Earthquake,Close Combat,Mach Punch,false,random
Blaziken,Blazikenite,Speed Boost,Fire,Fighting,Flare Blitz,Protect,High Jump Kick,Knock Off,true,best
Seaking,Choice Band,Lightning Rod,Water,,Knock Off,Waterfall,Drill Run,Megahorn,true,best
Stunfisk,Leftovers,Static,Ground,Electric,Discharge,Toxic,Earth Power,Scald,true,best
Noctowl,Leftovers,Insomnia,Normal,Flying,Whirlwind,Toxic,Night Shade,Roost,true,best
Druddigon,Life Orb,Sheer Force,Dragon,,Fire Punch,Glare,Outrage,Stealth Rock,true,best
Doublade,Eviolite,No Guard,Steel,Ghost,Iron Head,Swords Dance,Shadow Sneak,Sacred Sword,true,best
Hoopa-Unbound,Assault Vest,Magician,Psychic,Dark,Zen Headbutt,Gunk Shot,Focus Blast,Hyperspace Fury,false,random
Mawile,Mawilite,Intimidate,Steel,Fairy,Swords Dance,Iron Head,Substitute,Play Rough,false,random
Luxray,Toxic Orb,Guts,Electric,,Volt Switch,Ice Fang,Facade,Wild Charge,false,random
Aurorus,Leftovers,Refrigerate,Rock,Ice,Earth Power,Hyper Voice,Ancient Power,Thunder Wave,false,random
Klinklang,Leftovers,Clear Body,Steel,,Wild Charge,Shift Gear,Substitute,Gear Grind,false,random
Bastiodon,Leftovers,Sturdy,Rock,Steel,Toxic,Metal Burst,Protect,Rock Blast,false,random
Virizion,Leftovers,Justified,Grass,Fighting,Stone Edge,Close Combat,Leaf Blade,Swords Dance,true,random
Girafarig,Life Orb,Sap Sipper,Normal,Psychic,Thunderbolt,Psychic,Nasty Plot,Hyper Voice,true,random
Deoxys,Leftovers,Pressure,Psychic,,Extreme Speed,Stealth Rock,Spikes,Psycho Boost,true,random
Stoutland,Choice Scarf,Intimidate,Normal,,Ice Fang,Crunch,Superpower,Return,true,random
Gliscor,Toxic Orb,Poison Heal,Ground,Flying,Toxic,Earthquake,Taunt,Roost,true,random
Venusaur,Venusaurite,Overgrow,Grass,Poison,Leech Seed,Giga Drain,Sludge Bomb,Earthquake,true,random
Krookodile,Choice Scarf,Moxie,Ground,Dark,Knock Off,Pursuit,Earthquake,Stone Edge,false,best
Pikachu,Light Ball,Lightning Rod,Electric,,Volt Tackle,Hidden Power Ice,Grass Knot,Knock Off,false,best
Shaymin-Sky,Metronome,Serene Grace,Grass,Flying,Leech Seed,Seed Flare,Hidden Power Ice,Air Slash,false,best
Throh,Leftovers,Guts,Fighting,,Rest,Circle Throw,Ice Punch,Sleep Talk,false,best
Gigalith,Leftovers,Sturdy,Rock,,Earthquake,Stone Edge,Superpower,Stealth Rock,false,best
Durant,Life Orb,Hustle,Bug,Steel,Superpower,Stone Edge,Iron Head,Hone Claws,false,best
Poliwrath,Life Orb,Swift Swim,Water,Fighting,Hydro Pump,Rain Dance,Ice Punch,Focus Blast,true,best
Sigilyph,Toxic Orb,Magic Guard,Psychic,Flying,Stored Power,Cosmic Power,Roost,Psycho Shift,true,best
Armaldo,Leftovers,Battle Armor,Rock,Bug,Earthquake,X-Scissor,Toxic,Rapid Spin,true,best
Unown-P,Choice Specs,Levitate,Psychic,,Hidden Power Psychic,true,best
Aggron,Aggronite,Sturdy,Steel,Rock,Stealth Rock,Toxic,Heavy Slam,Roar,true,best
Gourgeist,Leftovers,Insomnia,Ghost,Grass,Seed Bomb,Shadow Sneak,Synthesis,Will-O-Wisp,true,best
Swampert,Swampertite,Damp,Water,Ground,Ice Punch,Waterfall,Rain Dance,Earthquake,false,random
Klefki,Leftovers,Prankster,Steel,Fairy,Magnet Rise,Foul Play,Play Rough,Toxic,false,random
Kabutops,Life Orb,Battle Armor,Rock,Water,Waterfall,Swords Dance,Knock Off,Stone Edge,false,random
Dodrio,Life Orb,Tangled Feet,Normal,Flying,Brave Bird,Roost,Quick Attack,Return,false,random
Linoone,Sitrus Berry,Quick Feet,Normal,,Seed Bomb,Shadow Claw,Belly Drum,Extreme Speed,false,random
Meowstic,Leftovers,Prankster,Psychic,,Heal Bell,Psychic,Yawn,Toxic,false,random
Donphan,Choice Band,Sturdy,Ground,,Ice Shard,Earthquake,Stone Edge,Knock Off,true,best
Sudowoodo,Leftovers,Sturdy,Rock,,Earthquake,Toxic,Stone Edge,Stealth Rock,true,best
Exeggutor,Sitrus Berry,Harvest,Grass,Psychic,Psychic,Hidden Power Fire,Substitute,Giga Drain,true,best
Drapion,Black Sludge,Sniper,Poison,Dark,Swords Dance,Earthquake,Knock Off,Taunt,true,best
Dodrio,Life Orb,Tangled Feet,Normal,Flying,Brave Bird,Return,Roost,Quick Attack,true,best
Trevenant,Choice Band,Natural Cure,Ghost,Grass,Shadow Claw,Rock Slide,Earthquake,Wood Hammer,true,best
Lucario,Focus Sash,Justified,Fighting,Steel,Nasty Plot,Flash Cannon,Dark Pulse,Vacuum Wave,false,random
Landorus,Life Orb,Sheer Force,Ground,Flying,Rock Polish,Earth Power,Calm Mind,Focus Blast,false,random
Sawk,Leftovers,Sturdy,Fighting,,Close Combat,Earthquake,Bulk Up,Knock Off,false,random
Furret,Choice Scarf,Frisk,Normal,,U-turn,Trick,Fire Punch,Double-Edge,false,random
Venusaur,Venusaurite,Overgrow,Grass,Poison,Giga Drain,Leech Seed,Sludge Bomb,Hidden Power Fire,false,random
Braviary,Leftovers,Defiant,Normal,Flying,Return,Roost,Bulk Up,Brave Bird,false,random
Milotic,Leftovers,Competitive,Water,,Scald,Dragon Tail,Recover,Toxic,true,best
Stantler,Life Orb,Intimidate,Normal,,Jump Kick,Double-Edge,Sucker Punch,Earthquake,true,best
Dugtrio,Focus Sash,Arena Trap,Ground,,Stone Edge,Reversal,Sucker Punch,Earthquake,true,best
Nidoqueen,Life Orb,Sheer Force,Poison,Ground,Ice Beam,Sludge Wave,Toxic Spikes,Earth Power,true,best
Armaldo,Leftovers,Battle Armor,Rock,Bug,Rapid Spin,X-Scissor,Stealth Rock,Knock Off,true,best
Jirachi,Leftovers,Serene Grace,Steel,Psychic,Substitute,Ice Punch,Fire Punch,Iron Head,true,best
Manectric,Manectite,Lightning Rod,Electric,,Thunderbolt,Hidden Power Ice,Overheat,Volt Switch,false,random
Archeops,Expert Belt,Defeatist,Rock,Flying,Endeavor,U-turn,Stone Edge,Aqua Tail,false,random
Ho-Oh,Weakness Policy,Regenerator,Fire,Flying,Flame Charge,Earthquake,Sacred Fire,Roost,false,random
Klefki,Leftovers,Prankster,Steel,Fairy,Toxic,Foul Play,Spikes,Play Rough,false,random
Carnivine,Leftovers,Levitate,Grass,,Swords Dance,Power Whip,Knock Off,Sleep Powder,false,random
Mr. Mime,Leftovers,Filter,Psychic,Fairy,Psyshock,Nasty Plot,Encore,Dazzling Gleam,false,random
Poliwrath,Life Orb,Swift Swim,Water,Fighting,Scald,Focus Blast,Rain Dance,Ice Punch,true,best
Zygarde,Lum Berry,Aura Break,Dragon,Ground,Outrage,Dragon Dance,Extreme Speed,Earthquake,true,best
Granbull,Life Orb,Intimidate,Fairy,,Play Rough,Crunch,Heal Bell,Earthquake,true,best
Luvdisc,Leftovers,Swift Swim,Water,,Toxic,Scald,Protect,Ice Beam,true,best
Serperior,Leftovers,Contrary,Grass,,Leaf Storm,Leech Seed,Glare,Dragon Pulse,true,best
Klefki,Leftovers,Prankster,Steel,Fairy,Play Rough,Magnet Rise,Toxic,Spikes,true,best
Krookodile,Focus Sash,Intimidate,Ground,Dark,Stealth Rock,Superpower,Knock Off,Earthquake,false,random
Cinccino,Choice Band,Skill Link,Normal,,Tail Slap,Knock Off,Bullet Seed,U-turn,false,random
Exeggutor,Sitrus Berry,Harvest,Grass,Psychic,Giga Drain,Psychic,Leech Seed,Hidden Power Fire,false,random
Reshiram,Leftovers,Turboblaze,Dragon,Fire,Toxic,Roost,Draco Meteor,Blue Flare,false,random
Swalot,Black Sludge,Sticky Hold,Poison,,Toxic,Sludge Bomb,Pain Split,Encore,false,random
Torkoal,White Herb,White Smoke,Fire,,Shell Smash,Hidden Power Grass,Fire Blast,Yawn,false,random
Seismitoad,Focus Sash,Water Absorb,Water,Ground,Earthquake,Toxic,Sludge Wave,Hydro Pump,true,best
Ledian,Leftovers,Swarm,Bug,Flying,U-turn,Toxic,Knock Off,Roost,true,best
Cinccino,Choice Band,Skill Link,Normal,,Tail Slap,Bullet Seed,U-turn,Rock Blast,true,best
Volcarona,Leftovers,Flame Body,Bug,Fire,Roost,Hidden Power Ground,Quiver Dance,Fiery Dance,true,best
Magnezone,Leftovers,Magnet Pull,Electric,Steel,Flash Cannon,Hidden Power Fire,Substitute,Thunderbolt,true,best
Zebstrika,Choice Specs,Sap Sipper,Electric,,Hidden Power Grass,Overheat,Volt Switch,Thunderbolt,true,best
Cofagrigus,Leftovers,Mummy,Ghost,,Pain Split,Toxic Spikes,Shadow Ball,Haze,false,random
Samurott,Assault Vest,Torrent,Water,,Megahorn,Aqua Jet,Waterfall,Ice Beam,false,random
Kyurem-White,Leftovers,Turboblaze,Dragon,Ice,Roost,Earth Power,Draco Meteor,Ice Beam,false,random
Abomasnow,Abomasite,Snow Warning,Grass,Ice,Giga Drain,Earthquake,Blizzard,Ice Shard,false,random
Shaymin,Leftovers,Natural Cure,Grass,,Leech Seed,Rest,Psychic,Seed Flare,false,random
Nidoqueen,Life Orb,Sheer Force,Poison,Ground,Sludge Wave,Ice Beam,Fire Blast,Earth Power,false,random
Archeops,,Defeatist,Rock,Flying,Stone Edge,Acrobatics,U-turn,Earthquake,true,best
Zekrom,Lum Berry,Teravolt,Dragon,Electric,Roost,Outrage,Hone Claws,Bolt Strike,true,best
Throh,Toxic Orb,Guts,Fighting,,Bulk Up,Storm Throw,Ice Punch,Knock Off,true,best
Luxray,Choice Scarf,Intimidate,Electric,,Ice Fang,Superpower,Wild Charge,Crunch,true,best
Breloom,Leftovers,Technician,Grass,Fighting,Swords Dance,Bullet Seed,Mach Punch,Spore,true,best
Leavanny,Leftovers,Overcoat,Bug,Grass,Swords Dance,Knock Off,Leaf Blade,Sticky Web,true,best
Klinklang,Life Orb,Clear Body,Steel,,Wild Charge,Shift Gear,Return,Gear Grind,false,random
Ampharos,Ampharosite,Static,Electric,,Thunderbolt,Dragon Pulse,Agility,Focus Blast,false,random
Zygarde,Lum Berry,Aura Break,Dragon,Ground,Outrage,Extreme Speed,Dragon Dance,Earthquake,false,random
Dunsparce,Leftovers,Serene Grace,Normal,,Glare,Rock Slide,Bite,Headbutt,false,random
Uxie,Leftovers,Levitate,Psychic,,Thunder Wave,Heal Bell,Stealth Rock,Psychic,false,random
Yveltal,Leftovers,Dark Aura,Dark,Flying,Roost,Toxic,Oblivion Wing,Dark Pulse,false,random
Tentacruel,Focus Sash,Liquid Ooze,Water,Poison,Rapid Spin,Sludge Bomb,Toxic Spikes,Scald,true,random
Jolteon,Choice Specs,Volt Absorb,Electric,,Hidden Power Ice,Shadow Ball,Thunderbolt,Volt Switch,true,random
Camerupt,Life Orb,Solid Rock,Fire,Ground,Fire Blast,Rock Polish,Earth Power,Stone Edge,true,random
Jynx,Choice Scarf,Dry Skin,Ice,Psychic,Ice Beam,Trick,Focus Blast,Psyshock,true,random
Gardevoir,Gardevoirite,Trace,Psychic,Fairy,Psyshock,Calm Mind,Taunt,Hyper Voice,true,random
Swellow,Toxic Orb,Guts,Normal,Flying,Facade,Brave Bird,U-turn,Quick Attack,true,random
Slowking,Leftovers,Regenerator,Water,Psychic,Nasty Plot,Psyshock,Scald,Fire Blast,false,best
Heatmor,Life Orb,Flash Fire,Fire,,Giga Drain,Knock Off,Fire Blast,Focus Blast,false,best
Alakazam,Alakazite,Magic Guard,Psychic,,Calm Mind,Shadow Ball,Psyshock,Encore,false,best
Tyrantrum,Lum Berry,Rock Head,Rock,Dragon,Dragon Dance,Outrage,Head Smash,Superpower,false,best
Electrode,Life Orb,Static,Electric,,Foul Play,Signal Beam,Volt Switch,Thunderbolt,false,best
Ledian,Leftovers,Swarm,Bug,Flying,U-turn,Toxic,Knock Off,Roost,false,best
Reshiram,Assault Vest,Turboblaze,Dragon,Fire,Dragon Pulse,Stone Edge,Flame Charge,Blue Flare,true,best
Lopunny,Lopunnite,Limber,Normal,,High Jump Kick,Ice Punch,Fake Out,Return,true,best
Palkia,Assault Vest,Pressure,Water,Dragon,Hydro Pump,Fire Blast,Draco Meteor,Dragon Tail,true,best
Magmortar,Leftovers,Vital Spirit,Fire,,Focus Blast,Fire Blast,Hidden Power Grass,Substitute,true,best
Blissey,Leftovers,Natural Cure,Normal,,Toxic,Flamethrower,Soft-Boiled,Seismic Toss,true,best
Fearow,Choice Band,Sniper,Normal,Flying,U-turn,Double-Edge,Drill Run,Drill Peck,true,best
Luvdisc,Focus Sash,Swift Swim,Water,,Ice Beam,Scald,Toxic,Sweet Kiss,false,random
Cinccino,Choice Band,Skill Link,Normal,,Knock Off,U-turn,Rock Blast,Tail Slap,false,random
Electrode,Life Orb,Aftermath,Electric,,Foul Play,Signal Beam,Thunderbolt,Hidden Power Grass,false,random
